card_name,benefit_name,benefit_value,cadence,reset_timing,enrollment_required,requires_setup,track_in_memento,source_url,notes,card_status,issuer,card_type,card_code,benefit_code
Amex Business Platinum,Hotel Credit (FHR / Hotel Collection),Up to $300 semiannually,semiannual,Jan-Jun / Jul-Dec,no,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,Prepaid bookings via Amex Travel; Hotel Collection requires 2-night minimum,active,amex,business,amex_business_platinum,amex_business_platinum_hotel_credit_fhr_hotel_collection
Amex Business Platinum,Hilton for Business Credit,Up to $50/quarter ($200/year),quarterly,calendar quarter,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,Eligible purchases made directly with Hilton; enrollment required,active,amex,business,amex_business_platinum,amex_business_platinum_hilton_for_business_credit
Amex Business Platinum,Indeed Credit,Up to $90/quarter ($360/year),quarterly,calendar quarter,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,Statement credits on eligible Indeed purchases,active,amex,business,amex_business_platinum,amex_business_platinum_indeed_credit
Amex Business Platinum,Wireless Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,U.S. wireless telephone provider purchases,active,amex,business,amex_business_platinum,amex_business_platinum_wireless_credit
Amex Business Platinum,Adobe Credit,Up to $150/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,Annual prepaid plans on select Adobe products,active,amex,business,amex_business_platinum,amex_business_platinum_adobe_credit
Amex Business Platinum,Dell Technologies Credit (Tier 1),Up to $150/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/business/trends-and-insights/videos/business-platinum-dell-benefits/,U.S. purchases directly with Dell Technologies,active,amex,business,amex_business_platinum,amex_business_platinum_dell_technologies_credit_tier_1
Amex Business Platinum,Dell Technologies Credit (Tier 2),$1000 after $5000 spend,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/business/trends-and-insights/videos/business-platinum-dell-benefits/,Threshold-based: triggered after $5K Dell spend in calendar year,active,amex,business,amex_business_platinum,amex_business_platinum_dell_technologies_credit_tier_2
Amex Business Platinum,Airline Fee Credit,Up to $200/year,annual,calendar year,yes,yes,yes,https://global.americanexpress.com/card-benefits/detail/airline-fee-credit/business-platinum,Select one qualifying airline; incidental fees only,active,amex,business,amex_business_platinum,amex_business_platinum_airline_fee_credit
Amex Business Platinum,CLEAR Plus Credit,Up to $209/year,annual,calendar year,no,yes,yes,https://global.americanexpress.com/card-benefits/detail/clear-credit/business-platinum,Covers full CLEAR Plus membership,active,amex,business,amex_business_platinum,amex_business_platinum_clear_plus_credit
Amex Business Platinum,Global Entry / TSA PreCheck Credit,$120 (Global Entry) or up to $85 (PreCheck),multi_year,every 4 years,no,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,One application fee credit per 4-year period,active,amex,business,amex_business_platinum,amex_business_platinum_global_entry_tsa_precheck_credit
